entity_name,year,quarter,question,subquestion,worker_category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Clerical Occupations,,,,1.0,0.0,1.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Managers,,,,8.0,11.0,15.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Professional,,,,26.0,22.0,43.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),TOTAL Quits and Resignations (except retirements),,,,101.0,112.0,128.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,A. Quits and Resignations (except retirements),Technicians & Associate Professionals,,,,66.0,79.0,69.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Elementary Occupations,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Managers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Operative Workers,,,,0.0,0.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Professional,,,,0.0,1.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,"TOTAL Layoffs and Discharges, of which; VSS/ MSS",,,,1.0,2.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. (i) Layoffs and Discharges: of which; VSS/ MSS,Technicians & Associate Professionals,,,,1.0,1.0,0.0,,,,,,
AFFIN BANK BERHAD,2025,Quarter 2,Q5,B. Total Layoffs and Discharges,Clerical Occupations,,,,0.0,0.0,0.0,,,,,,
